park_id,park_name,ha,latitude,longitude,st_point,description,nature_count,art_count,urban_count,task_richness_score,category_diversity_score,richness_score_norm,area_score,park_suitability_score,feature_summary
105,Royal Society of Victoria,0.2253,-37.80768445178654,144.96923061543575,POINT(144.96923061543575 -37.80768445178654),"Royal Society of Victoria is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.02253,0.005,No matched task features in this park yet.
106,Scots Church,0.0048,-37.81476688114558,144.96840782979632,POINT(144.96840782979632 -37.81476688114558),"Scots Church is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.00047999999999999996,0.15,This park contains 1 art features.
107,Seafarers Rest,0.3551,-37.82295423579053,144.95143151976364,POINT(144.95143151976364 -37.82295423579053),"Seafarers Rest is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.03551,0.007,No matched task features in this park yet.
108,Shepherd Bridge Reserve,0.2717,-37.80550188575512,144.9083711317109,POINT(144.9083711317109 -37.80550188575512),"Shepherd Bridge Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.02717,0.005,No matched task features in this park yet.
109,Shrine of Remembrance Reserve,13.0001,-37.83039407493965,144.9730683791196,POINT(144.9730683791196 -37.83039407493965),"Shrine of Remembrance Reserve is a public park in Melbourne, Melbourne.",5.0,2.0,1.0,8.0,1.0,0.8,1.0,0.9,"This park contains 5 nature features, 2 art features, 1 urban discovery features."
110,Spencer Street Plaza,0.0884,-37.81939853832556,144.95388769004333,POINT(144.95388769004333 -37.81939853832556),"Spencer Street Plaza is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00884,0.002,No matched task features in this park yet.
111,St Andrews Place Reserve,0.0945,-37.81230600515335,144.97755665221544,POINT(144.97755665221544 -37.812306005153346),"St Andrews Place Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00945,0.002,No matched task features in this park yet.
112,St Augustines Church,0.0706,-37.81691168554512,144.95491345137188,POINT(144.95491345137188 -37.816911685545115),"St Augustines Church is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.0070599999999999994,0.001,No matched task features in this park yet.
113,St Marys,0.0136,-37.80584910057595,144.9534360503015,POINT(144.9534360503015 -37.80584910057595),"St Marys is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.0013599999999999999,0.0,No matched task features in this park yet.
114,St Marys Church,0.0956,-37.80601912823117,144.9532153456881,POINT(144.9532153456881 -37.80601912823117),"St Marys Church is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00956,0.002,No matched task features in this park yet.
115,Stapely Parade Reserve,3.0381,-37.8259582208074,144.98191104194032,POINT(144.98191104194032 -37.8259582208074),"Stapely Parade Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.30381,0.061,No matched task features in this park yet.
116,State Library Forecourt,0.3392,-37.8100269659297,144.96441944903114,POINT(144.96441944903114 -37.8100269659297),"State Library Forecourt is a public park in Melbourne, Melbourne.",0.0,0.0,1.0,1.0,0.333,0.1,0.03392,0.157,This park contains 1 urban discovery features.
117,Station Street Park,0.2549,-37.79722713348544,144.97385265693237,POINT(144.97385265693237 -37.79722713348544),"Station Street Park is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.025490000000000002,0.005,No matched task features in this park yet.
118,Stock Route Reserve,0.6937,-37.789131105921456,144.92573749696132,POINT(144.92573749696132 -37.789131105921456),"Stock Route Reserve is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.06937,0.014,No matched task features in this park yet.
119,Sturt Street Reserve,0.4807,-37.82980295651621,144.9648535607704,POINT(144.9648535607704 -37.829802956516204),"Sturt Street Reserve is a public park in Melbourne, Melbourne.",2.0,0.0,0.0,2.0,0.333,0.2,0.04807,0.21,This park contains 2 nature features.
120,The Avenue Reserve (North),0.1916,-37.77872054002039,144.95959593741756,POINT(144.95959593741756 -37.77872054002039),"The Avenue Reserve (North) is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01916,0.004,No matched task features in this park yet.
121,The Avenue Reserve (South),0.3027,-37.77976835544873,144.9590798702465,POINT(144.9590798702465 -37.77976835544873),"The Avenue Reserve (South) is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.030270000000000002,0.006,No matched task features in this park yet.
122,The Kings Domain Reserve,16.5913,-37.82505100509447,144.97382741822966,POINT(144.97382741822966 -37.82505100509447),"The Kings Domain Reserve is a public park in Melbourne, Melbourne.",2.0,9.0,0.0,11.0,0.667,1.0,1.0,0.9,"This park contains 2 nature features, 9 art features."
123,The Kings Domain and Tan,5.0543,-37.82438725217185,144.9757616770565,POINT(144.9757616770565 -37.82438725217185),"The Kings Domain and Tan is a public park in Melbourne, Melbourne.",2.0,0.0,0.0,2.0,0.333,0.2,0.5054299999999999,0.301,This park contains 2 nature features.
124,Treasury Gardens,5.7667,-37.81410988099709,144.97615228376898,POINT(144.97615228376898 -37.814109880997094),"Treasury Gardens is a public park in Melbourne, Melbourne.",10.0,4.0,0.0,14.0,0.667,1.0,0.57667,0.815,"This park contains 10 nature features, 4 art features."
125,University Square,1.5925,-37.80101458518988,144.96029265988176,POINT(144.96029265988176 -37.801014585189876),"University Square is a public park in Melbourne, Melbourne.",2.0,1.0,0.0,3.0,0.667,0.3,0.15925,0.382,"This park contains 2 nature features, 1 art features."
126,Victoria Green,0.4377,-37.82039287926157,144.94502729363222,POINT(144.94502729363222 -37.82039287926157),"Victoria Green is a public park in Melbourne, Melbourne.",6.0,0.0,0.0,6.0,0.333,0.6,0.043769999999999996,0.409,This park contains 6 nature features.
127,Victoria Market Reserve,0.1915,-37.80923362878805,144.9578929038599,POINT(144.9578929038599 -37.80923362878805),"Victoria Market Reserve is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.01915,0.154,This park contains 1 art features.
128,Warun Biik Park,0.7456,-37.796612048151935,144.92629866224635,POINT(144.92629866224635 -37.796612048151935),"Warun Biik Park is a public park in Melbourne, Melbourne.",7.0,0.0,0.0,7.0,0.333,0.7,0.07456,0.465,This park contains 7 nature features.
129,Weedon Reserve,0.5979,-37.81712630925763,144.98896792832662,POINT(144.98896792832662 -37.81712630925763),"Weedon Reserve is a public park in Melbourne, Melbourne.",0.0,1.0,0.0,1.0,0.333,0.1,0.059789999999999996,0.162,This park contains 1 art features.
130,Wellington Crescent,0.0891,-37.81740023117743,144.97787797686678,POINT(144.97787797686678 -37.81740023117743),"Wellington Crescent is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.00891,0.002,No matched task features in this park yet.
131,Wellington Park,0.8809,-37.81598886259604,144.9771846319383,POINT(144.9771846319383 -37.815988862596036),"Wellington Park is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.08809,0.018,No matched task features in this park yet.
132,West Gate Park,0.7971,-37.82939818218406,144.90927535371316,POINT(144.90927535371316 -37.82939818218406),"West Gate Park is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.07971,0.016,No matched task features in this park yet.
133,Westbourne Road Reserve,1.7133999999999998,-37.79282934542849,144.92097795020763,POINT(144.92097795020763 -37.79282934542849),"Westbourne Road Reserve is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.17134,0.184,This park contains 1 nature features.
134,Westgate Park,32.4565,-37.831991510573474,144.90711286400094,POINT(144.90711286400094 -37.831991510573474),"Westgate Park is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,1.0,0.35,This park contains 1 nature features.
135,Womens Peace Gardens,0.6596,-37.79114646195153,144.9239679160037,POINT(144.9239679160037 -37.79114646195153),"Womens Peace Gardens is a public park in Melbourne, Melbourne.",1.0,0.0,0.0,1.0,0.333,0.1,0.06595999999999999,0.163,This park contains 1 nature features.
136,Yarra Park,27.745,-37.8195889115286,144.9854311196705,POINT(144.9854311196705 -37.8195889115286),"Yarra Park is a public park in Melbourne, Melbourne.",1.0,1.0,0.0,2.0,0.667,0.2,1.0,0.5,"This park contains 1 nature features, 1 art features."
137,Yarra River Frontage,0.1729,-37.82452927502808,144.95391692042242,POINT(144.95391692042242 -37.824529275028084),"Yarra River Frontage is a public park in Melbourne, Melbourne.",0.0,0.0,0.0,0.0,0.0,0.0,0.01729,0.003,No matched task features in this park yet.
